date,symbol,sector,marketcapname,start price,high_after_5_days,low_after_5_days,high_after_10_days,low_after_10_days,high_after_20_days,low_after_20_days,high_after_30_days,low_after_30_days
2023-11-15,LTIM,I.T,Largecap,5353,5637.64990234375,5292.7001953125,5637.64990234375,5292.7001953125,5820.0,5292.7001953125,5965.0,5292.7001953125
2023-11-17,COROMANDEL,Industrials,Largecap,1119,1134.0,1109.5999755859375,1177.5,1109.5999755859375,1267.0,1109.5999755859375,1267.0,1109.5999755859375
2023-11-17,IRCTC,Miscellaneous,Largecap,707,719.9000244140625,677.2000122070312,719.9000244140625,677.2000122070312,799.9500122070312,677.2000122070312,799.9500122070312,677.2000122070312
2023-11-21,COROMANDEL,Industrials,Largecap,1119,1143.0,1110.0,1209.0,1110.0,1267.0,1110.0,1267.0,1110.0
2023-11-23,OFSS,I.T,Largecap,3970,4134.39990234375,3957.75,4162.0,3957.75,4397.5498046875,3957.75,4397.5498046875,3957.75
2023-11-29,CIPLA,Pharmaceuticals,Largecap,1201,1229.0,1191.75,1231.199951171875,1191.75,1250.3499755859375,1191.75,1263.800048828125,1191.75
2023-11-29,TCS,I.T,Largecap,3472,3547.800048828125,3475.800048828125,3698.39990234375,3475.800048828125,3929.0,3475.800048828125,3929.0,3475.800048828125
2023-12-06,OFSS,I.T,Largecap,3985,4265.9501953125,4038.800048828125,4397.39990234375,4038.800048828125,4508.0,4038.800048828125,4508.0,4038.800048828125
2023-12-13,CIPLA,Pharmaceuticals,Largecap,1216,1240.1500244140625,1192.0999755859375,1250.3499755859375,1192.0999755859375,1331.5,1192.0999755859375,1340.0,1192.0999755859375
2023-12-21,ZEEL,Media,Midcap,262,272.8999938964844,256.04998779296875,292.6499938964844,256.04998779296875,293.20001220703125,233.60000610351562,293.20001220703125,229.0500030517578
2023-12-22,ASTRAL,FMCG,Largecap,1933,1946.0,1877.75,1946.0,1835.5,1946.0,1740.0,1946.0,1740.0
2023-12-29,ASTRAL,FMCG,Largecap,1907,1913.949951171875,1840.0,1913.949951171875,1803.0,1913.949951171875,1740.0,1913.949951171875,1740.0
2024-01-11,EICHERMOT,Auto,Largecap,3888,3924.699951171875,3720.0,3924.699951171875,3562.449951171875,3990.0,3562.449951171875,3990.0,3562.449951171875
2024-01-11,COROMANDEL,Industrials,Largecap,1187,1219.199951171875,1159.0999755859375,1219.199951171875,1119.8499755859375,1219.199951171875,1034.5999755859375,1219.199951171875,1034.5999755859375
2024-01-12,HINDUNILVR,FMCG,Largecap,2519,2584.60009765625,2511.85009765625,2584.60009765625,2365.449951171875,2584.60009765625,2365.449951171875,2584.60009765625,2365.449951171875
2024-01-17,ICICIGI,Services,Largecap,1449,1513.0,1410.050048828125,1520.5,1410.050048828125,1659.699951171875,1410.050048828125,1659.699951171875,1410.050048828125
2024-01-19,HINDUNILVR,FMCG,Largecap,2540,2573.949951171875,2365.449951171875,2573.949951171875,2365.449951171875,2573.949951171875,2346.75,2573.949951171875,2346.75
2024-01-19,MCDOWELL-N,FMCG,Largecap,1082,1146.0,1063.8499755859375,1146.0,1058.949951171875,1148.949951171875,1054.699951171875,1148.949951171875,1054.699951171875
2024-01-29,GNFC,Industrials,Midcap,751,759.9000244140625,728.8499755859375,759.9000244140625,663.0499877929688,759.9000244140625,629.3499755859375,759.9000244140625,629.3499755859375
