date,symbol,sector,marketcapname,start price,high_after_5_days,low_after_5_days,high_after_10_days,low_after_10_days,high_after_20_days,low_after_20_days,high_after_30_days,low_after_30_days
2024-01-31,MCDOWELL-N,FMCG,Largecap,1089,1097.3499755859375,1054.699951171875,1119.5999755859375,1054.699951171875,1180.0,1054.699951171875,1180.0,1054.699951171875
2024-02-02,MCDOWELL-N,FMCG,Largecap,1086,1097.3499755859375,1054.699951171875,1148.949951171875,1054.699951171875,1180.0,1054.699951171875,1182.1500244140625,1054.699951171875
2024-02-06,MPHASIS,I.T,Largecap,2578,2659.85009765625,2472.0,2837.60009765625,2472.0,2837.60009765625,2472.0,2837.60009765625,2461.0
2024-02-06,EICHERMOT,Auto,Largecap,3944,3990.0,3761.60009765625,4003.0,3726.60009765625,4018.949951171875,3726.60009765625,4018.949951171875,3726.60009765625
2024-02-07,PIDILITIND,Industrials,Largecap,2695,2724.050048828125,2604.0,2750.0,2604.0,2768.949951171875,2604.0,2962.699951171875,2604.0
2024-02-09,PIDILITIND,Industrials,Largecap,2657,2686.89990234375,2610.10009765625,2757.0,2610.10009765625,2962.699951171875,2610.10009765625,2962.699951171875,2610.10009765625
2024-02-09,MCDOWELL-N,FMCG,Largecap,1111,1148.949951171875,1071.050048828125,1163.9000244140625,1071.050048828125,1182.1500244140625,1071.050048828125,1182.1500244140625,1071.050048828125
2024-02-15,EICHERMOT,Auto,Largecap,3916,4003.0,3784.199951171875,4018.949951171875,3784.199951171875,4018.949951171875,3686.25,4018.949951171875,3686.25
2024-02-15,MPHASIS,I.T,Largecap,2708,2837.60009765625,2574.0,2837.60009765625,2574.0,2837.60009765625,2335.050048828125,2837.60009765625,2335.050048828125
2024-02-22,EICHERMOT,Auto,Largecap,3951,4018.949951171875,3841.85009765625,4018.949951171875,3734.050048828125,4018.949951171875,3672.0,4018.949951171875,3672.0
2024-02-22,DEEPAKNTR,Industrials,Largecap,2341,2362.0,2180.800048828125,2362.0,2134.85009765625,2362.0,2035.0999755859375,2362.0,2035.0999755859375
2024-02-22,TECHM,I.T,Largecap,1328,1342.550048828125,1271.0,1342.550048828125,1250.0999755859375,1342.550048828125,1247.0,1342.550048828125,1236.0999755859375
2024-02-29,COLPAL,FMCG,Largecap,2517,2585.39990234375,2476.25,2698.64990234375,2476.25,2759.5,2476.25,2759.5,2476.25
2024-03-02,MPHASIS,I.T,Largecap,2600,2657.0,2442.050048828125,2657.0,2335.050048828125,2657.0,2306.0,2657.0,2306.0
2024-03-14,MCDOWELL-N,FMCG,Largecap,1127,1162.0,1081.5,1162.0,1081.5,1207.0,1081.5,1207.0,1081.5
2024-03-21,CIPLA,Pharmaceuticals,Largecap,1448,1514.199951171875,1420.199951171875,1514.199951171875,1420.199951171875,1514.199951171875,1335.0,1514.199951171875,1335.0
2024-03-21,ASTRAL,FMCG,Largecap,1942,2018.800048828125,1902.0,2100.0,1902.0,2100.0,1902.0,2100.0,1902.0
2024-03-22,MCDOWELL-N,FMCG,Largecap,1134,1169.949951171875,1106.0,1169.949951171875,1106.0,1207.0,1106.0,1207.0,1106.0
2024-03-26,ASTRAL,FMCG,Largecap,1992,2061.0,1925.800048828125,2100.0,1925.800048828125,2100.0,1925.800048828125,2100.0,1925.800048828125
2024-04-01,ACC,Industrials,Largecap,2537,2666.699951171875,2497.10009765625,2666.699951171875,2407.050048828125,2666.699951171875,2368.0,2666.699951171875,2368.0
2024-04-01,IRCTC,Miscellaneous,Largecap,970,1037.949951171875,930.0,1068.800048828125,930.0,1068.800048828125,930.0,1068.800048828125,930.0
2024-04-05,MCDOWELL-N,FMCG,Largecap,1128,1207.0,1114.0,1207.0,1114.0,1219.0,1114.0,1219.0,1114.0
2024-04-05,MGL,Industrials,Midcap,1440,1488.9000244140625,1390.0,1489.0,1367.199951171875,1496.0,1367.199951171875,1496.0,1367.199951171875
2024-04-08,GUJGASLTD,Industrials,Largecap,565,577.5999755859375,540.2000122070312,584.0,535.2000122070312,584.0,530.7999877929688,584.0,530.7999877929688
2024-04-08,CIPLA,Pharmaceuticals,Largecap,1462,1472.8499755859375,1375.550048828125,1472.8499755859375,1335.0,1472.8499755859375,1335.0,1472.8499755859375,1335.0
2024-04-10,GUJGASLTD,Industrials,Largecap,565,584.0,540.2000122070312,584.0,535.2000122070312,584.0,530.0,584.0,530.0
2024-04-15,GUJGASLTD,Industrials,Largecap,572,584.0,535.2000122070312,584.0,535.2000122070312,584.0,519.3499755859375,584.0,519.3499755859375
2024-04-18,ICICIGI,Services,Largecap,1703,1747.0,1671.3499755859375,1747.0,1671.0,1747.0,1641.449951171875,1747.0,1641.449951171875
2024-04-18,HDFCAMC,Finance,Largecap,3706,3825.0,3598.14990234375,3950.10009765625,3598.14990234375,3983.85009765625,3528.0,3983.85009765625,3528.0
2024-04-22,MCDOWELL-N,FMCG,Largecap,1159,1219.0,1120.0,1242.199951171875,1120.0,1245.800048828125,1120.0,1245.800048828125,1120.0
2024-04-24,PIIND,Industrials,Largecap,3754,3842.449951171875,3592.0,3842.449951171875,3475.0,3842.449951171875,3475.0,3842.449951171875,3475.0
2024-04-24,MGL,Industrials,Midcap,1422,1496.0,1397.75,1496.0,1327.6500244140625,1496.0,1257.0,1496.0,1257.0
2024-04-25,ACC,Industrials,Largecap,2572,2610.0,2515.5,2610.0,2403.0,2662.800048828125,2331.550048828125,2662.800048828125,2331.550048828125
2024-04-25,ASTRAL,FMCG,Largecap,2010,2149.39990234375,1985.5,2149.39990234375,1985.5,2352.0,1985.5,2352.0,1985.5
2024-04-29,HDFCAMC,Finance,Largecap,3705,3983.85009765625,3708.10009765625,3983.85009765625,3528.0,4041.0,3528.0,4041.0,3528.0
2024-05-06,ICICIGI,Services,Largecap,1675,1731.0,1644.8499755859375,1731.0,1644.8499755859375,1731.0,1567.25,1731.0,1480.5
2024-05-08,HEROMOTOCO,Auto,Largecap,4613,5051.0,4414.64990234375,5168.60009765625,4414.64990234375,5775.2001953125,4414.64990234375,5775.2001953125,4414.64990234375
2024-05-10,PIDILITIND,Industrials,Largecap,2919,3030.0,2845.10009765625,3063.0,2845.10009765625,3231.0,2845.10009765625,3231.0,2845.10009765625
2024-05-13,ICICIGI,Services,Largecap,1678,1700.25,1646.4000244140625,1700.25,1615.0,1700.25,1480.5,1700.25,1480.5
2024-05-14,AMBUJACEM,Industrials,Largecap,608,634.75,587.0,656.9500122070312,587.0,676.6500244140625,518.3499755859375,676.6500244140625,518.3499755859375
2024-05-14,IGL,Industrials,Largecap,444,448.8500061035156,430.45001220703125,477.0,430.45001220703125,484.6000061035156,423.0,484.6000061035156,423.0
2024-05-14,COALINDIA,Industrials,Largecap,448,493.8999938964844,445.1000061035156,507.3500061035156,445.1000061035156,527.4000244140625,410.79998779296875,527.4000244140625,410.79998779296875
2024-05-15,HDFCAMC,Finance,Largecap,3696,3874.85009765625,3676.199951171875,4041.0,3676.199951171875,4186.9501953125,3415.550048828125,4186.9501953125,3415.550048828125
2024-05-16,ICICIGI,Services,Largecap,1670,1683.1500244140625,1625.0,1683.1500244140625,1579.5,1689.949951171875,1480.5,1766.949951171875,1480.5
2024-05-16,IEX,Financial Services,Midcap,146,166.39999389648438,146.5,166.39999389648438,146.5,181.75,134.14999389648438,182.5500030517578,134.14999389648438
2024-05-18,IGL,Industrials,Largecap,440,469.20001220703125,435.45001220703125,477.0,433.70001220703125,490.45001220703125,423.0,490.45001220703125,423.0
2024-05-22,IGL,Industrials,Largecap,441,477.0,435.45001220703125,477.0,423.0,490.45001220703125,423.0,490.45001220703125,423.0
2024-05-28,MCDOWELL-N,FMCG,Largecap,1190,1195.5,1153.300048828125,1327.0,1136.300048828125,1334.8499755859375,1136.300048828125,1334.8499755859375,1136.300048828125
2024-05-31,ACC,Industrials,Largecap,2539,2702.699951171875,2150.0,2702.699951171875,2150.0,2714.0,2150.0,2714.0,2150.0
2024-05-31,HDFCAMC,Finance,Largecap,3816,4186.9501953125,3415.550048828125,4186.9501953125,3415.550048828125,4186.9501953125,3415.550048828125,4186.9501953125,3415.550048828125
2024-05-31,GUJGASLTD,Industrials,Largecap,551,577.0,490.0,644.0999755859375,490.0,648.9500122070312,490.0,648.9500122070312,490.0
2024-06-03,MCDOWELL-N,FMCG,Largecap,1181,1313.9000244140625,1136.300048828125,1334.8499755859375,1136.300048828125,1334.8499755859375,1136.300048828125,1334.8499755859375,1136.300048828125
2024-06-03,IGL,Industrials,Largecap,468,474.0,423.0,490.45001220703125,423.0,509.70001220703125,423.0,509.70001220703125,423.0
2024-06-04,COLPAL,FMCG,Largecap,2809,3069.050048828125,2670.699951171875,3069.050048828125,2670.699951171875,3069.050048828125,2670.699951171875,3069.050048828125,2670.699951171875
2024-06-05,GUJGASLTD,Industrials,Largecap,550,618.0,514.25,648.9500122070312,514.25,648.9500122070312,514.25,648.9500122070312,514.25
2024-06-05,ASTRAL,FMCG,Largecap,2116,2229.550048828125,1986.050048828125,2297.800048828125,1986.050048828125,2453.0,1986.050048828125,2453.0,1986.050048828125
2024-06-05,IEX,Financial Services,Midcap,156,171.8000030517578,145.14999389648438,187.39999389648438,145.14999389648438,187.39999389648438,145.14999389648438,187.39999389648438,145.14999389648438
2024-06-05,TECHM,I.T,Largecap,1266,1381.0,1236.75,1396.8499755859375,1236.75,1453.0,1236.75,1453.0,1236.75
2024-06-06,IGL,Industrials,Largecap,460,484.6000061035156,452.0,490.45001220703125,452.0,509.70001220703125,452.0,509.70001220703125,452.0
2024-06-07,AMBUJACEM,Industrials,Largecap,619,680.4500122070312,607.2999877929688,689.0,607.2999877929688,689.0,607.2999877929688,689.0,607.2999877929688
2024-06-07,HDFCAMC,Finance,Largecap,3756,4089.949951171875,3735.0,4089.949951171875,3735.0,4152.5498046875,3735.0,4152.5498046875,3735.0
2024-06-10,ACC,Industrials,Largecap,2535,2714.0,2499.10009765625,2714.0,2499.10009765625,2714.0,2499.10009765625,2714.0,2499.10009765625
2024-06-12,IRCTC,Miscellaneous,Largecap,1026,1038.6500244140625,1002.9000244140625,1046.0,987.0999755859375,1046.0,983.3499755859375,1046.0,983.3499755859375
2024-06-14,ICICIGI,Services,Largecap,1730,1784.0,1641.0,1814.0,1641.0,1814.0,1641.0,1814.0,1641.0
2024-06-18,IRCTC,Miscellaneous,Largecap,1032,1046.0,1002.9000244140625,1046.0,983.3499755859375,1046.0,983.3499755859375,1046.0,983.3499755859375
2024-06-28,GNFC,Industrials,Midcap,710,713.3499755859375,676.5999755859375,713.3499755859375,676.5999755859375,713.3499755859375,676.5999755859375,713.3499755859375,676.5999755859375
2024-06-28,COALINDIA,Industrials,Largecap,473,476.0,468.0,476.0,468.0,476.0,468.0,476.0,468.0
