date,symbol,marketcapname,sector
15-11-2023,LTIM,Largecap,I.T
17-11-2023,COROMANDEL,Largecap,Industrials
17-11-2023,IRCTC,Largecap,Miscellaneous
21-11-2023,COROMANDEL,Largecap,Industrials
23-11-2023,OFSS,Largecap,I.T
29-11-2023,CIPLA,Largecap,Pharmaceuticals
29-11-2023,TCS,Largecap,I.T
06-12-2023,OFSS,Largecap,I.T
13-12-2023,CIPLA,Largecap,Pharmaceuticals
21-12-2023,ZEEL,Midcap,Media
22-12-2023,ASTRAL,Largecap,FMCG
29-12-2023,ASTRAL,Largecap,FMCG
11-01-2024,EICHERMOT,Largecap,Auto
11-01-2024,COROMANDEL,Largecap,Industrials
12-01-2024,HINDUNILVR,Largecap,FMCG
17-01-2024,ICICIGI,Largecap,Services
19-01-2024,HINDUNILVR,Largecap,FMCG
19-01-2024,MCDOWELL-N,Largecap,FMCG
29-01-2024,GNFC,Midcap,Industrials
31-01-2024,MCDOWELL-N,Largecap,FMCG
02-02-2024,MCDOWELL-N,Largecap,FMCG
06-02-2024,EICHERMOT,Largecap,Auto
06-02-2024,MPHASIS,Largecap,I.T
07-02-2024,PIDILITIND,Largecap,Industrials
09-02-2024,PIDILITIND,Largecap,Industrials
09-02-2024,MCDOWELL-N,Largecap,FMCG
15-02-2024,EICHERMOT,Largecap,Auto
15-02-2024,MPHASIS,Largecap,I.T
22-02-2024,EICHERMOT,Largecap,Auto
22-02-2024,DEEPAKNTR,Largecap,Industrials
22-02-2024,TECHM,Largecap,I.T
29-02-2024,COLPAL,Largecap,FMCG
02-03-2024,MPHASIS,Largecap,I.T
14-03-2024,MCDOWELL-N,Largecap,FMCG
21-03-2024,CIPLA,Largecap,Pharmaceuticals
21-03-2024,ASTRAL,Largecap,FMCG
22-03-2024,MCDOWELL-N,Largecap,FMCG
26-03-2024,ASTRAL,Largecap,FMCG
01-04-2024,ACC,Largecap,Industrials
01-04-2024,IRCTC,Largecap,Miscellaneous
05-04-2024,MCDOWELL-N,Largecap,FMCG
05-04-2024,MGL,Midcap,Industrials
08-04-2024,CIPLA,Largecap,Pharmaceuticals
08-04-2024,GUJGASLTD,Largecap,Industrials
10-04-2024,GUJGASLTD,Largecap,Industrials
15-04-2024,GUJGASLTD,Largecap,Industrials
18-04-2024,ICICIGI,Largecap,Services
18-04-2024,HDFCAMC,Largecap,Finance
22-04-2024,MCDOWELL-N,Largecap,FMCG
24-04-2024,PIIND,Largecap,Industrials
24-04-2024,MGL,Midcap,Industrials
25-04-2024,ACC,Largecap,Industrials
25-04-2024,ASTRAL,Largecap,FMCG
29-04-2024,HDFCAMC,Largecap,Finance
06-05-2024,ICICIGI,Largecap,Services
08-05-2024,HEROMOTOCO,Largecap,Auto
10-05-2024,PIDILITIND,Largecap,Industrials
13-05-2024,ICICIGI,Largecap,Services
14-05-2024,AMBUJACEM,Largecap,Industrials
14-05-2024,IGL,Largecap,Industrials
14-05-2024,COALINDIA,Largecap,Industrials
15-05-2024,HDFCAMC,Largecap,Finance
16-05-2024,ICICIGI,Largecap,Services
16-05-2024,IEX,Midcap,Financial Services
18-05-2024,IGL,Largecap,Industrials
22-05-2024,IGL,Largecap,Industrials
28-05-2024,MCDOWELL-N,Largecap,FMCG
31-05-2024,ACC,Largecap,Industrials
31-05-2024,HDFCAMC,Largecap,Finance
31-05-2024,GUJGASLTD,Largecap,Industrials
03-06-2024,MCDOWELL-N,Largecap,FMCG
03-06-2024,IGL,Largecap,Industrials
04-06-2024,COLPAL,Largecap,FMCG
05-06-2024,IEX,Midcap,Financial Services
05-06-2024,TECHM,Largecap,I.T
05-06-2024,ASTRAL,Largecap,FMCG
05-06-2024,GUJGASLTD,Largecap,Industrials
06-06-2024,IGL,Largecap,Industrials
07-06-2024,AMBUJACEM,Largecap,Industrials
07-06-2024,HDFCAMC,Largecap,Finance
10-06-2024,ACC,Largecap,Industrials
12-06-2024,IRCTC,Largecap,Miscellaneous
14-06-2024,ICICIGI,Largecap,Services
18-06-2024,IRCTC,Largecap,Miscellaneous
28-06-2024,GNFC,Midcap,Industrials
28-06-2024,COALINDIA,Largecap,Industrials
